DATE,TIME,EVENT,ADDRESS,LOCATION,Latitude,Longitude
9/25/2022,12:55:40 AM,FIRE ALARM,221 WESTWOOD PZ,WOODEN CENTER,34.0732112,-118.4451017
9/24/2022,8:28:24 PM,FIRE ALARM,110 WESTWOOD PZ,ANDERSON SCHOOL OF MANAGEMENT,34.0739537,-118.4430523
9/24/2022,9:40:20 AM,FIRE ALARM,280 DE NEVE DR,RIEBER VISTA,34.0721256,-118.452112
9/23/2022,3:01:08 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
9/23/2022,2:59:12 AM,FIRE ALARM,200 MEDICAL PZ,MEDICAL PLAZA 200 PETER MORTON BUILDING,34.0648474,-118.4471591
9/22/2022,11:20:16 PM,FIRE ALARM,760 WESTWOOD PZ,SEMEL INSTITUTE,34.0658571,-118.4448153
9/22/2022,11:11:28 PM,FIRE ALARM,570 WESTWOOD PZ,CALIFORNIA NANOSYSTEMS INSTITUTE,34.0678484,-118.4437715
9/22/2022,10:46:38 PM,FIRE ALARM,420 WESTWOOD PZ,ENGINEERING 4,34.0687997,-118.4440275
9/22/2022,10:05:35 PM,FIRE ALARM,420 WESTWOOD PZ,ENGINEERING 4,34.0687997,-118.4440275
9/21/2022,6:05:55 PM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
9/20/2022,10:53:20 PM,FIRE ALARM,10745 DICKSON PZ,ROYCE HALL,34.0722226,-118.4420203
9/20/2022,9:30:11 AM,FIRE ALARM,337 CHARLES E YOUNG DR E,PUBLIC AFFAIRS BUILDING,34.0741192,-118.4392242
9/20/2022,6:55:33 AM,FIRE ALARM,570 WESTWOOD PZ,CALIFORNIA NANOSYSTEMS INSTITUTE,34.0678484,-118.4437715
9/19/2022,6:57:44 PM,FIRE ALARM,610 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
9/18/2022,1:00:37 AM,FIRE ALARM,475 GAYLEY AVE,WESTWOOD PALM APARTMENTS,34.0700609,-118.4519937
9/16/2022,7:25:34 AM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
9/16/2022,4:43:15 AM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
9/16/2022,12:47:54 AM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
9/15/2022,8:02:21 AM,FIRE ALARM,10833 LE CONTE AVE,CENTER FOR HEALTH SCIENCES,34.0642829,-118.4423562
9/14/2022,5:09:41 PM,FIRE ALARM,221 WESTWOOD PZ,WOODEN CENTER,34.0732112,-118.4451017
9/14/2022,5:08:58 PM,FIRE ALARM,336 CHARLES E YOUNG DR N,PARKING STRUCTURE 7,34.0747297,-118.4444635
9/14/2022,3:28:32 PM,FIRE ALARM,610 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
9/14/2022,1:18:06 PM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
9/13/2022,10:47:37 PM,FIRE ALARM,675 CHARLES E YOUNG DR S,PARKING STRUCTURE 9,34.0671114,-118.4439594
9/12/2022,9:28:33 PM,FIRE ALARM,100 MEDICAL PZ,MEDICAL PLAZA 100 MANOUKIAN MEDICAL BLDG,34.0654341,-118.4456849
9/12/2022,9:08:53 AM,FIRE ALARM,610 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
9/12/2022,7:03:34 AM,FIRE ALARM,351 CHARLES E YOUNG DR W,DE NEVE PLAZA,34.0704055,-118.4501706
9/11/2022,8:53:23 PM,FIRE ALARM,380 DE NEVE DR,SPROUL LANDING,34.0713431,-118.4497877
9/11/2022,9:41:19 AM,FIRE ALARM,425 WESTWOOD PZ,LUSKIN CONFERENCE CENTER,34.0693709,-118.4457082
9/11/2022,7:33:34 AM,FIRE ALARM,425 WESTWOOD PZ,LUSKIN CONFERENCE CENTER,34.0693709,-118.4457082
9/10/2022,4:07:35 PM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
9/8/2022,2:46:24 PM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
